xpos,ypos,yaw,velocity
2161,360,12288,0
2161,360,12288,0
2162,360,12288,0
2162,360,12288,0
2163,360,12288,0
2164,360,12288,0
2164,360,12288,0
2165,360,12288,0
2166,360,12288,0
2167,360,12288,0
2168,360,12288,0
2169,360,12288,0
2170,360,12288,0
2171,360,12288,0
2173,360,12288,0
2174,360,12288,1
2175,360,12288,1
2177,360,12288,1
2178,360,12288,1
2180,360,12288,1
2181,360,12288,1
2183,360,12288,1
2185,360,12288,1
2187,360,12288,1
2189,360,12288,1
2191,360,12288,1
2193,360,12288,1
2195,360,12288,1
2197,360,12288,1
2199,360,12288,1
2201,360,12288,1
2203,360,12288,2
2206,360,12288,2
2208,360,12288,2
2211,360,12288,2
2213,360,12288,2
2216,360,12288,2
2219,360,12288,2
2221,360,12288,2
2224,360,12288,2
2227,360,12288,2
2230,360,12288,2
2233,360,12288,2
2236,360,12288,2
2239,360,12288,2
2242,360,12288,2
2246,360,12288,2
2249,360,12288,3
2252,360,12288,3
2256,360,12288,3
2259,360,12288,3
2263,360,12288,3
2266,360,12288,3
2270,360,12288,3
2274,360,12288,3
2278,360,12288,3
2282,360,12288,3
2286,360,12288,3
2290,360,12288,3
2294,360,12288,3
2298,360,12288,3
2302,360,12288,3
2306,360,12288,3
2310,360,12288,4
2315,360,12288,4
2319,360,12288,4
2324,360,12288,4
2328,360,12288,4
2333,360,12288,4
2337,360,12288,4
2342,360,12288,4
2347,360,12288,4
2351,360,12288,4
2356,360,12288,4
2361,360,12288,4
2366,360,12288,4
2370,360,12288,4
2375,360,12288,4
2380,360,12288,4
2385,360,12288,4
2390,360,12288,4
2395,360,12288,4
2400,360,12288,4
2405,360,12288,4
2410,360,12288,4
2415,360,12288,4
2420,360,12288,4
2425,360,12288,5
2431,360,12288,5
2436,360,12288,5
2441,360,12288,5
2446,360,12288,5
2452,360,12288,5
2457,360,12288,5
2462,360,12288,5
2468,360,12288,5
2473,360,12288,5
2479,360,12288,5
2484,360,12288,5
2490,360,12288,5
2495,360,12288,5
2501,360,12288,5
2507,360,12288,5
2512,360,12288,5
2518,360,12288,5
2524,360,12288,5
2529,360,12288,5
2535,360,12288,5
2541,360,12288,5
2547,360,12288,5
2553,360,12288,5
2559,360,12288,5
2565,360,12288,5
2571,360,12288,5
2577,360,12288,5
2583,360,12288,5
2589,360,12288,5
2595,360,12288,5
2601,360,12288,5
2607,360,12288,6
2613,360,12288,6
2619,360,12288,6
2626,360,12288,6
2632,360,12288,6
2638,360,12288,6
2645,360,12288,6
2651,360,12288,6
2657,360,12288,6
2664,360,12288,6
2670,360,12288,6
2677,360,12288,6
2683,360,12288,6
2690,360,12288,6
2696,360,12288,6
2703,360,12288,6
2709,360,12288,6
2716,360,12288,6
2723,360,12288,6
2729,360,12288,6
2736,360,12288,6
2743,360,12288,6
2749,360,12288,6
2756,360,12288,6
2763,360,12288,6
2769,360,12288,6
2776,360,12288,6
2783,360,12288,6
2790,360,12288,6
2796,360,12288,6
2803,360,12288,6
2810,360,12288,6
2817,360,12288,6
2824,360,12288,6
2831,360,12288,6
2837,360,12288,6
2844,360,12288,6
2851,360,12288,6
2858,360,12288,6
2865,360,12288,6
2872,360,12288,6
2879,360,12288,6
2886,360,12288,6
2893,360,12288,6
2900,360,12288,6
2907,360,12288,6
2914,360,12288,6
2921,360,12288,6
2928,360,12288,7
2935,360,12288,7
2942,360,12288,7
2949,360,12288,7
2956,360,12288,7
2963,360,12288,7
2971,360,12288,7
2978,360,12288,7
2985,360,12288,7
2992,360,12288,7
2999,360,12288,7
3006,360,12288,7
3013,360,12288,7
3020,360,12288,7
3027,360,12288,7
3035,360,12288,7
3042,360,12288,7
3049,360,12288,7
3056,360,12288,7
3063,360,12288,7
3071,360,12288,7
3078,360,12288,7
3085,360,12288,7
3092,360,12288,7
3099,360,12288,7
3107,360,12288,7
3114,360,12288,7
3121,360,12288,7
3128,360,12288,7
3136,360,12288,7
3143,360,12288,7
3150,360,12288,7
3157,360,12288,7
3165,360,12288,7
3172,360,12288,7
3179,360,12288,7
3187,360,12288,7
3194,360,12288,7
3201,360,12288,7
3209,360,12288,7
3216,360,12288,7
3223,360,12288,7
3231,360,12288,7
3238,360,12288,7
3246,360,12288,7
3253,360,12288,7
3260,360,12288,7
3268,360,12288,7
3275,360,12288,7
3283,360,12288,7
3290,360,12288,7
3297,360,12288,7
3305,360,12288,7
3312,360,12288,7
3320,360,12288,7
3327,360,12288,7
3335,360,12288,7
3342,360,12288,7
3350,360,12288,7
3357,360,12288,7
3365,360,12288,7
3372,360,12288,7
3380,360,12288,7
3387,360,12288,7
3395,360,12288,7
3402,360,12288,7
3410,360,12288,7
3417,360,12288,7
3425,360,12288,7
3432,360,12288,7
3440,360,12288,7
3448,360,12288,7
3455,360,12288,7
3463,360,12288,7
3470,360,12288,7
3478,360,12288,7
3485,360,12288,7
3493,360,12288,7
3500,360,12288,7
3508,360,12288,7
3516,360,12288,7
3523,360,12288,7
3531,360,12288,7
3538,360,12288,7
3546,360,12288,7
3554,360,12288,7
3561,360,12288,7
3569,360,12288,7
3576,360,12288,7
3584,360,12288,7
3592,360,12288,7
3599,360,12288,7
3607,360,12288,7
3615,360,12288,7
3622,360,12288,7
3630,360,12288,7
3637,360,12288,7
3645,360,12288,7
3653,360,12288,7
3660,360,12288,7
3668,360,12288,7
3675,360,12288,7
3683,360,12288,7
3691,360,12288,7
3698,360,12288,7
3706,360,12288,7
3713,360,12288,7
3721,360,12288,7
3728,360,12288,7
3735,360,12288,7
3743,360,12288,7
3750,360,12288,7
3758,360,12288,7
3765,360,12288,7
3772,360,12288,7
3780,360,12288,7
3787,360,12288,7
3794,360,12288,7
3802,360,12288,7
3809,360,12288,7
3816,360,12288,7
3824,360,12288,7
3831,360,12288,7
3838,360,12288,7
3845,360,12288,7
3852,360,12288,7
3860,360,12288,7
3867,360,12288,7
3874,360,12288,7
3881,360,12288,7
3888,360,12288,7
3895,360,12288,7
3902,360,12288,7
3909,360,12288,7
3916,360,12288,7
3923,360,12288,7
3930,360,12288,7
3937,360,12288,7
3944,360,12288,7
3951,360,12288,7
3958,360,12288,7
3965,360,12288,7
3972,360,12288,7
3979,360,12288,6
3986,360,12288,6
3993,360,12288,6
4000,360,12288,6
4007,360,12288,6
4013,360,12288,6
4020,360,12288,6
4027,360,12288,6
4034,360,12288,6
4041,360,12288,6
4047,360,12288,6
4054,360,12288,6
,,12288,6
,,12288,6
,,12288,6
,,12288,6
,,12288,6
