xpos,ypos,velocity,yaw,,yaw,xpos,ypos
0,0,0,0,,12288,2160,360
0,0,0,0,,12288,2160,360
0,0,0,0,,12288,2160,360
0,0,0,0,,12288,2160,360
0,0,0,0,,12288,2160,360
1,0,0,0,,12288,2161,360
1,0,0,0,,12288,2161,360
2,0,0,0,,12288,2162,360
2,0,0,0,,12288,2162,360
3,0,0,0,,12288,2163,360
4,0,0,0,,12288,2164,360
4,0,0,0,,12288,2164,360
5,0,0,0,,12288,2165,360
6,0,0,0,,12288,2166,360
7,0,0,0,,12288,2167,360
8,0,1,0,,12288,2168,360
9,0,1,0,,12288,2169,360
10,0,1,0,,12288,2170,360
11,0,1,0,,12288,2171,360
13,0,1,0,,12288,2173,360
14,0,1,0,,12288,2174,360
15,0,1,0,,12288,2175,360
17,0,1,0,,12288,2177,360
18,0,1,0,,12288,2178,360
20,0,1,0,,12288,2180,360
21,0,1,0,,12288,2181,360
23,0,1,0,,12288,2183,360
25,0,1,0,,12288,2185,360
27,0,1,0,,12288,2187,360
29,0,1,0,,12288,2189,360
31,0,1,0,,12288,2191,360
33,0,2,0,,12288,2193,360
35,0,2,0,,12288,2195,360
37,0,2,0,,12288,2197,360
39,0,2,0,,12288,2199,360
41,0,2,0,,12288,2201,360
43,0,2,0,,12288,2203,360
46,0,2,0,,12288,2206,360
48,0,2,0,,12288,2208,360
51,0,2,0,,12288,2211,360
53,0,2,0,,12288,2213,360
56,0,2,0,,12288,2216,360
59,0,2,0,,12288,2219,360
61,0,2,0,,12288,2221,360
64,0,2,0,,12288,2224,360
67,0,2,0,,12288,2227,360
70,0,2,0,,12288,2230,360
73,0,3,0,,12288,2233,360
76,0,3,0,,12288,2236,360
79,0,3,0,,12288,2239,360
82,0,3,0,,12288,2242,360
86,0,3,0,,12288,2246,360
89,0,3,0,,12288,2249,360
92,0,3,0,,12288,2252,360
96,0,3,0,,12288,2256,360
99,0,3,0,,12288,2259,360
103,0,3,0,,12288,2263,360
106,0,3,0,,12288,2266,360
110,0,3,0,,12288,2270,360
114,0,3,0,,12288,2274,360
118,0,3,0,,12288,2278,360
122,0,3,0,,12288,2282,360
126,0,3,0,,12288,2286,360
130,0,4,0,,12288,2290,360
134,0,4,0,,12288,2294,360
138,0,4,0,,12288,2298,360
142,0,4,0,,12288,2302,360
146,0,4,0,,12288,2306,360
150,0,4,0,,12288,2310,360
155,0,4,0,,12288,2315,360
159,0,4,0,,12288,2319,360
164,0,4,0,,12288,2324,360
168,0,4,0,,12288,2328,360
173,0,4,0,,12288,2333,360
177,0,4,0,,12288,2337,360
182,0,4,0,,12288,2342,360
187,0,4,0,,12288,2347,360
191,0,4,0,,12288,2351,360
196,0,4,0,,12288,2356,360
201,0,4,0,,12288,2361,360
